"userID","stimID","timestamp","enforcementType","users_stimuli_enforcementID"
"SSINL2001311","1","2014-03-06 15:53:14","hardEnforce","208"
"SSINL2001311","1","2014-03-06 15:53:18","hardEnforce","209"
"SSINL2001311","1","2014-03-06 15:54:16","hardEnforce","210"
"SSINL2001311","1","2014-03-06 16:47:54","hardEnforce","211"
"SSINL2001416","0","2014-03-06 17:13:53","hardEnforce","212"
"SSINL2001416","0","2014-03-06 17:14:35","hardEnforce","213"
"SSINL2001416","1","2014-03-06 17:22:02","hardEnforce","214"
"SSINL2001416","1","2014-03-06 17:25:03","hardEnforce","215"
"SSINL2001416","1","2014-03-06 17:25:56","hardEnforce","216"
"SSINL2001416","1","2014-03-06 17:26:04","hardEnforce","217"
"SSINL2001416","1","2014-03-06 17:30:00","hardEnforce","218"
"SSINL2001416","1","2014-03-06 17:30:42","hardEnforce","219"
"SSINL2001416","1","2014-03-06 17:31:36","hardEnforce","220"
"SSINL2001311","1","2014-03-07 12:42:45","hardEnforce","221"
"SSINL2001311","1","2014-03-07 12:45:07","hardEnforce","222"
"SSINL2001311","1","2014-03-07 12:50:11","hardEnforce","223"
"SSINL2001311","1","2014-03-07 12:50:33","hardEnforce","224"
"SSINL2001311","1","2014-03-09 07:37:22","hardEnforce","225"
"SSINL2001311","1","2014-03-09 07:37:25","hardEnforce","226"
"SSINL2001311","1","2014-03-09 07:37:28","hardEnforce","227"
"SSINL2001311","1","2014-03-09 07:37:31","hardEnforce","228"
"SSINL2001311","1","2014-03-09 07:37:34","hardEnforce","229"
"SSINL2001525","0","2014-03-09 19:43:10","hardEnforce","230"
"SSINL2001525","0","2014-03-09 19:43:26","hardEnforce","231"
"SSINL2001311","1","2014-03-10 10:57:51","hardEnforce","232"
"SSINL2001552","1","2014-03-10 11:52:07","hardEnforce","233"
"SSINL2001552","1","2014-03-10 11:52:55","hardEnforce","234"
"SSINL2001552","1","2014-03-10 11:53:58","hardEnforce","235"
